license_num,status,license_type,issued,expires,business_name,dba_name,license_description,applicant,manager,day_phone,evening_phone,tot_capacity,fee_amt,capacity,end_time,unit_type,numberofunits,address,city,state,zip,neighborhood,police_dist,gpsx,gpsy
CAL-493164,Active,Non-Live Entertainment,9/26/22,12/31/23,Bunker Hill Restaurant LLC,Waverly,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Jon Sweeney,Jon Sweeney,(781)710-4290,N/A,79,0,79,12:00 AM,Audio Device,1,229-  Bunker Hill ST,Charlestown,MA,2129,Downtown/Charlestown/North End,A-1,774159.6167,2963612.034
CAL-492637,Active,Non-Live Entertainment,9/19/22,12/31/22,PremAir of Boston LLC,Harpoon Tap Room,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Kelliann McClintock,Kelliann McClintock,(845)901-4294,N/A,65,540,65,N/A,Widescreen Television,3,100     Terminal RD,East Boston,MA,2128,East Boston,A-7,785396.804,2958229.843
CAL-491445,Active,Non-Live Entertainment,9/14/22,12/31/22,Cannonball Cafe LLC,Cannonball Cafe,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Rachel Lazar,Rachel Lazar,(617)910-5533,N/A,34,0,34,10:00 PM,Audio Device,1,383-   Dorchester AVE,Boston,MA,2127,Dorchester,C-11,775866.0573,2947442.37
CAL-491962,Active,Non-Live Entertainment,9/8/22,12/31/22,MINOT HOSPITALITY GROUP LLC,Beacon Hill Hotel,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Thomas Santaniello,Thomas Santaniello,(857)334-5449,N/A,104,0,104,1:00AM,Audio Device,1,25-   Charles ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,772484.0484,2955384.169
CAL-491962,Active,Non-Live Entertainment,9/8/22,12/31/22,MINOT HOSPITALITY GROUP LLC,Beacon Hill Hotel,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Thomas Santaniello,Thomas Santaniello,(857)334-5449,N/A,104,540,0,N/A,Widescreen Television,3,25-   Charles ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,772484.0484,2955384.169
CAL-491962,Active,Non-Live Entertainment,9/8/22,12/31/22,MINOT HOSPITALITY GROUP LLC,Beacon Hill Hotel,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Thomas Santaniello,Thomas Santaniello,(857)334-5449,N/A,104,0,0,N/A,Board Game,1,25-   Charles ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,772484.0484,2955384.169
CAL-491962,Active,Non-Live Entertainment,9/8/22,12/31/22,MINOT HOSPITALITY GROUP LLC,Beacon Hill Hotel,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Thomas Santaniello,Thomas Santaniello,(857)334-5449,N/A,104,0,0,N/A,TV / Monitor,2,25-   Charles ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,772484.0484,2955384.169
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Dancing by Patrons,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Disc Jockey,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,164,12AM,Audio Device,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Stage Play,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Floor Show,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Vocal,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Instrument,3,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,Karaoke,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,0,0,N/A,"Television (under 27"") / Monitor",3,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-491970,Active,Live Entertainment,9/7/22,12/31/22,Bella Haven Restaurant Group,The Haven at the Brewery,1 Live entertainment may be operated seven 7 days until 12 00 m inside 2 Entertainment is not permitted outside 3 to exceed 70 decibels any time 50 between11 p per Boston Noise Ordinance,Jason Waddleton,Jason Waddleton,(617)792-9092,N/A,164,180,0,N/A,Projector,1,284-  Amory ST,Jamaica Plain,MA,2130,Jamaica Plain,E-13,763321.2917,2939914.809
CAL-490400,Active,Non-Live Entertainment,8/25/22,12/31/22,"DELTA AIR LINES, INC.",Delta Sky Club,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Rebecca Bassila,Rebecca Bassila,(404)715-4101,N/A,86,360,0,N/A,Widescreen Television,2,500     Logan Airport Terminal E  ,East Boston,MA,2128,East Boston,A-7,0,0
CAL-490400,Active,Non-Live Entertainment,8/25/22,12/31/22,"DELTA AIR LINES, INC.",Delta Sky Club,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Rebecca Bassila,Rebecca Bassila,(404)715-4101,N/A,86,0,86,2:00AM,Audio Device,1,500     Logan Airport Terminal E  ,East Boston,MA,2128,East Boston,A-7,0,0
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,0,N/A,Dancing by Patrons,1,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,50,0,N/A,Table Games,1,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,0,N/A,Vocal,10,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,0,N/A,Instrument,10,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,3240,0,N/A,Widescreen Television,18,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,360,0,N/A,Projector,2,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,0,N/A,Audio Device,1,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,5316,2:00AM,Floor Show,5316,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-488692,Active,Live Entertainment,8/24/22,12/31/22,"175 IPSWICH STREET, LLC",MGM Music Hall at Fenway,Capacity to be set upon submission Certificate Inspection Place Assembly permit Entertainment is not permitted outsideThe licensee must periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place on premises licensee’s staff keep an accurate count persons times ensure establishment does operate beyond its allowed capacity shall also aisles exits clear exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance have security outside closing make sure patrons exit in orderly fashion do congregate area,Laura Marie Cancro,Laura Marie Cancro,(617)960-8328,N/A,5316,0,0,N/A,Disc Jockey,0,175-  Ipswich St,Boston,MA,2215,Back Bay/South End,D-4,765560.153,2951559.875
CAL-490412,Active,Non-Live Entertainment,8/23/22,12/31/22,Cafe Darq LLC,Cafe Darq,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Kathy Phan,Kathy Phan,(617)338-0323,N/A,18,0,18,10PM,Audio Device,1,40-   Beach ST,Boston,MA,2111,Downtown/Charlestown/North End,A-1,774672.4207,2953471.131
CAL-489648,Active,Non-Live Entertainment,8/22/22,12/31/22,Fenway Plant Based LLC,Plant Pub Fenway,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Patrick McAuley,Patrick McAuley,(781)264-6485,N/A,389,2340,389,1:00 AM,Widescreen Television,13,61     Brookline AVE,Boston,MA,2215,Back Bay/South End,D-4,764546,2951790
CAL-489832,Active,Non-Live Entertainment,8/16/22,12/31/22,"K&K RESTAURANT, Inc.",Estella,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Helder Brandao,Helder Brandao,(617)980-0495,N/A,225,900,0,N/A,Widescreen Television,5,49-  Temple PL,Boston,MA,2111,Downtown/Charlestown/North End,A-1,774597.8718,2954645.568
CAL-489832,Active,Non-Live Entertainment,8/16/22,12/31/22,"K&K RESTAURANT, Inc.",Estella,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Helder Brandao,Helder Brandao,(617)980-0495,N/A,225,0,225,2:00AM,Audio Device,1,49-  Temple PL,Boston,MA,2111,Downtown/Charlestown/North End,A-1,774597.8718,2954645.568
CAL-488715,Active,Live Entertainment,8/10/22,12/31/22,"Boston Center for the Arts, Inc.",Boston Center for the Arts,1 Cyclorama 2 076 capacity Black Box Theater 90 Plaza 142 Mills Gallery 299 Lease held with Boston Redevelopment Authority 3 Entertainment is not permitted outside 4 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Ordinance 5 shall cease no later than m,Kristi Keefe,Kristi Keefe,(617)828-9155,(617)426-1017,2607,0,0,N/A,Vocal,3,539     Tremont ST,Boston,MA,2116,Back Bay/South End,D-4,772036.9457,2950928.24
